epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,91.0866,1.12786,1.92337,0.00309,0.4441,0.50815,0.56522,0.45318,0.83621,1.64098,0.00325,0.00103034,0.00103034,0.00103034
46,92.8206,1.22279,1.93445,0.00318,0.40294,0.6372,0.56479,0.45902,0.82723,1.51301,0.00327,0.00102851,0.00102851,0.00102851
47,94.5693,1.23328,1.73463,0.00285,0.40294,0.6372,0.56479,0.45902,0.82723,1.51301,0.00327,0.00102668,0.00102668,0.00102668
48,96.3341,1.13025,1.79809,0.00293,0.42247,0.78232,0.56974,0.44306,0.90057,1.48306,0.00347,0.00102484,0.00102484,0.00102484
49,98.1263,1.21987,1.76772,0.00308,0.38632,0.78311,0.57314,0.45833,0.86013,1.45491,0.00337,0.00102301,0.00102301,0.00102301
50,99.7419,1.08578,1.5774,0.00262,0.38632,0.78311,0.57314,0.45833,0.86013,1.45491,0.00337,0.00102118,0.00102118,0.00102118
51,101.52,1.19542,1.70907,0.00268,0.47381,0.62751,0.58383,0.4612,0.90888,1.41229,0.00359,0.00101934,0.00101934,0.00101934
52,103.23,1.18868,1.7787,0.00314,0.47381,0.62751,0.58383,0.4612,0.90888,1.41229,0.00359,0.00101751,0.00101751,0.00101751
53,104.977,1.24324,1.62941,0.00298,0.42341,0.73032,0.5907,0.47124,0.83788,1.34141,0.00327,0.00101568,0.00101568,0.00101568
54,106.797,1.23653,1.68863,0.00301,0.37328,0.66773,0.58352,0.47797,0.76784,1.33867,0.00298,0.00101384,0.00101384,0.00101384
55,108.592,1.09771,1.56219,0.00272,0.37328,0.66773,0.58352,0.47797,0.76784,1.33867,0.00298,0.00101201,0.00101201,0.00101201
56,110.538,1.04841,1.66963,0.00281,0.42943,0.66753,0.59909,0.4855,0.7601,1.37178,0.00291,0.00101018,0.00101018,0.00101018
57,112.259,1.06995,1.53326,0.00258,0.42943,0.66753,0.59909,0.4855,0.7601,1.37178,0.00291,0.00100834,0.00100834,0.00100834
58,113.928,1.00216,1.45186,0.00262,0.42694,0.69069,0.56612,0.46097,0.77127,1.32872,0.00298,0.00100651,0.00100651,0.00100651
59,115.747,0.97531,1.44681,0.0023,0.41572,0.72794,0.58632,0.47504,0.7804,1.33117,0.00306,0.00100468,0.00100468,0.00100468
60,117.39,0.97811,1.48732,0.00241,0.41572,0.72794,0.58632,0.47504,0.7804,1.33117,0.00306,0.00100284,0.00100284,0.00100284
61,119.017,1.03157,1.65031,0.00273,0.45832,0.81235,0.62926,0.51025,0.77662,1.313,0.00293,0.00100101,0.00100101,0.00100101
62,120.659,1.05617,1.64392,0.0026,0.49168,0.81797,0.62684,0.51474,0.70308,1.2468,0.00269,0.000999178,0.000999178,0.000999178
63,122.295,1.09978,1.5102,0.00293,0.49168,0.81797,0.62684,0.51474,0.70308,1.2468,0.00269,0.000997345,0.000997345,0.000997345
64,123.926,1.02319,1.50458,0.00279,0.46866,0.68888,0.62722,0.53659,0.65092,1.21778,0.00246,0.000995512,0.000995512,0.000995512
65,125.547,0.96709,1.45483,0.00244,0.46866,0.68888,0.62722,0.53659,0.65092,1.21778,0.00246,0.000993678,0.000993678,0.000993678
66,127.233,1.17911,1.55815,0.00288,0.46416,0.70423,0.61488,0.51768,0.71025,1.19621,0.00268,0.000991845,0.000991845,0.000991845
67,128.98,1.01459,1.39773,0.00248,0.49621,0.74061,0.607,0.50803,0.75284,1.17053,0.00279,0.000990012,0.000990012,0.000990012
68,130.744,1.00802,1.43818,0.00264,0.49621,0.74061,0.607,0.50803,0.75284,1.17053,0.00279,0.000988179,0.000988179,0.000988179
69,132.433,1.03387,1.44976,0.00269,0.4894,0.77758,0.64316,0.54102,0.70136,1.14632,0.00259,0.000986346,0.000986346,0.000986346
70,134.09,0.96085,1.43968,0.00253,0.4894,0.77758,0.64316,0.54102,0.70136,1.14632,0.00259,0.000984513,0.000984513,0.000984513
71,135.839,0.94,1.35948,0.00224,0.47963,0.65297,0.63131,0.53398,0.67081,1.12126,0.00262,0.000982679,0.000982679,0.000982679
72,137.474,0.95041,1.42555,0.00258,0.44263,0.79284,0.63217,0.51174,0.84214,1.14226,0.00312,0.000980846,0.000980846,0.000980846
73,139.179,1.03988,1.52866,0.00281,0.44263,0.79284,0.63217,0.51174,0.84214,1.14226,0.00312,0.000979013,0.000979013,0.000979013
74,140.939,1.05955,1.39669,0.00272,0.40661,0.64909,0.63741,0.5164,0.80936,1.17924,0.00305,0.00097718,0.00097718,0.00097718
75,142.599,1.02803,1.29394,0.00248,0.44788,0.659,0.64366,0.54769,0.65396,1.25878,0.00258,0.000975347,0.000975347,0.000975347
76,144.254,1.0964,1.45918,0.00291,0.44788,0.659,0.64366,0.54769,0.65396,1.25878,0.00258,0.000973514,0.000973514,0.000973514
77,145.996,0.93689,1.45513,0.00241,0.48802,0.67797,0.64245,0.53858,0.69671,1.13192,0.00273,0.000971681,0.000971681,0.000971681
78,147.713,0.99085,1.36422,0.00247,0.48802,0.67797,0.64245,0.53858,0.69671,1.13192,0.00273,0.000969847,0.000969847,0.000969847
79,149.378,0.98891,1.30298,0.00229,0.49276,0.73256,0.6345,0.53416,0.75448,1.07808,0.00299,0.000968014,0.000968014,0.000968014
80,151.088,1.02185,1.26426,0.00262,0.4868,0.70947,0.62607,0.52996,0.70196,1.02535,0.00275,0.000966181,0.000966181,0.000966181
81,152.759,0.92614,1.14824,0.00225,0.4868,0.70947,0.62607,0.52996,0.70196,1.02535,0.00275,0.000964348,0.000964348,0.000964348
82,154.395,0.90642,1.22947,0.00241,0.46844,0.81392,0.65713,0.56802,0.67619,1.03924,0.00259,0.000962515,0.000962515,0.000962515
83,156.044,0.9921,1.302,0.00262,0.46844,0.81392,0.65713,0.56802,0.67619,1.03924,0.00259,0.000960682,0.000960682,0.000960682
84,157.739,0.97921,1.1839,0.00231,0.46819,0.76769,0.65193,0.55596,0.63206,1.02909,0.00244,0.000958849,0.000958849,0.000958849
85,159.429,1.01121,1.29739,0.00267,0.52288,0.85848,0.62603,0.53284,0.6488,1.03375,0.00255,0.000957015,0.000957015,0.000957015
86,161.03,1.11142,1.36857,0.0029,0.52288,0.85848,0.62603,0.53284,0.6488,1.03375,0.00255,0.000955182,0.000955182,0.000955182
87,162.7,0.9488,1.26375,0.00227,0.55291,0.77786,0.63912,0.55616,0.62916,0.98148,0.0024,0.000953349,0.000953349,0.000953349
88,164.421,0.90577,1.14284,0.00221,0.58085,0.79622,0.66029,0.56713,0.65288,0.97724,0.00248,0.000951516,0.000951516,0.000951516
89,166.042,0.9307,1.17049,0.0025,0.58085,0.79622,0.66029,0.56713,0.65288,0.97724,0.00248,0.000949683,0.000949683,0.000949683
90,167.711,0.94571,1.30468,0.00273,0.49502,0.82833,0.65366,0.55818,0.72823,0.95361,0.00275,0.00094785,0.00094785,0.00094785
91,169.329,0.91401,1.22975,0.0023,0.49502,0.82833,0.65366,0.55818,0.72823,0.95361,0.00275,0.000946016,0.000946016,0.000946016
92,171.024,0.95548,1.12065,0.00218,0.44815,0.80218,0.62745,0.52288,0.75609,0.96499,0.00283,0.000944183,0.000944183,0.000944183
93,172.947,0.92762,1.27563,0.0026,0.40874,0.82833,0.62182,0.53686,0.61039,0.92703,0.00236,0.00094235,0.00094235,0.00094235
94,174.809,0.97723,1.26633,0.00266,0.40874,0.82833,0.62182,0.53686,0.61039,0.92703,0.00236,0.000940517,0.000940517,0.000940517
95,176.594,0.99995,1.22854,0.00261,0.47637,0.82833,0.63252,0.53452,0.66586,0.92593,0.00253,0.000938684,0.000938684,0.000938684
96,178.422,1.11852,1.1741,0.00257,0.47637,0.82833,0.63252,0.53452,0.66586,0.92593,0.00253,0.000936851,0.000936851,0.000936851
97,180.091,0.92917,1.21745,0.00256,0.5045,0.80869,0.6326,0.54717,0.64159,0.91883,0.00245,0.000935018,0.000935018,0.000935018
98,181.81,0.91244,1.2249,0.00246,0.58194,0.72692,0.63888,0.54636,0.64153,0.91684,0.00245,0.000933184,0.000933184,0.000933184
99,183.495,1.06257,1.28663,0.00293,0.58194,0.72692,0.63888,0.54636,0.64153,0.91684,0.00245,0.000931351,0.000931351,0.000931351
100,185.19,0.91026,1.05457,0.00224,0.50726,0.83368,0.64505,0.55119,0.64947,0.91748,0.00249,0.000929518,0.000929518,0.000929518
101,187.006,0.95753,1.09022,0.0023,0.5207,0.74124,0.66321,0.57526,0.63373,0.90397,0.00242,0.000927685,0.000927685,0.000927685
102,188.704,0.95354,1.19309,0.00259,0.5207,0.74124,0.66321,0.57526,0.63373,0.90397,0.00242,0.000925852,0.000925852,0.000925852
103,190.63,0.85174,1.03964,0.00223,0.47733,0.76658,0.66023,0.56166,0.70487,0.93132,0.00266,0.000924019,0.000924019,0.000924019
104,192.674,0.90647,1.16333,0.0024,0.47733,0.76658,0.66023,0.56166,0.70487,0.93132,0.00266,0.000922186,0.000922186,0.000922186
105,194.629,0.88306,1.01145,0.00224,0.47752,0.84169,0.6345,0.54433,0.68493,0.93494,0.00258,0.000920352,0.000920352,0.000920352
106,196.537,0.90499,1.03132,0.00222,0.49913,0.84881,0.63557,0.55397,0.59379,0.93548,0.00229,0.000918519,0.000918519,0.000918519
107,198.377,0.83767,1.05995,0.00198,0.49913,0.84881,0.63557,0.55397,0.59379,0.93548,0.00229,0.000916686,0.000916686,0.000916686
108,200.211,0.92177,1.12106,0.00233,0.48078,0.84831,0.64159,0.55722,0.64419,0.92213,0.00247,0.000914853,0.000914853,0.000914853
109,202.085,0.93905,1.02551,0.00238,0.48078,0.84831,0.64159,0.55722,0.64419,0.92213,0.00247,0.00091302,0.00091302,0.00091302
110,203.95,0.89272,1.14829,0.00219,0.47065,0.84916,0.63301,0.54967,0.61663,0.91542,0.00239,0.000911187,0.000911187,0.000911187
111,205.857,0.90591,1.0209,0.00228,0.4861,0.79159,0.63355,0.54621,0.58051,0.90551,0.00218,0.000909353,0.000909353,0.000909353
112,207.793,0.87674,1.04299,0.0019,0.4861,0.79159,0.63355,0.54621,0.58051,0.90551,0.00218,0.00090752,0.00090752,0.00090752
113,209.697,0.90996,1.02888,0.0022,0.48111,0.76729,0.65958,0.57577,0.57219,0.84596,0.00218,0.000905687,0.000905687,0.000905687
114,211.62,0.89861,1.0317,0.00235,0.53341,0.69698,0.63593,0.55646,0.61948,0.89769,0.00234,0.000903854,0.000903854,0.000903854
115,213.394,0.87342,1.09203,0.00236,0.53341,0.69698,0.63593,0.55646,0.61948,0.89769,0.00234,0.000902021,0.000902021,0.000902021
116,215.359,0.80698,0.98487,0.00186,0.51738,0.67585,0.64557,0.54902,0.64622,0.83385,0.00249,0.000900188,0.000900188,0.000900188
117,217.493,0.8895,1.00566,0.00223,0.51738,0.67585,0.64557,0.54902,0.64622,0.83385,0.00249,0.000898355,0.000898355,0.000898355
118,219.447,0.87736,1.01637,0.002,0.52465,0.65538,0.6413,0.55213,0.64315,0.83278,0.0024,0.000896521,0.000896521,0.000896521
119,221.396,0.8397,1.04278,0.0026,0.52847,0.68553,0.64238,0.55233,0.66722,0.87411,0.00248,0.000894688,0.000894688,0.000894688
120,223.784,0.94765,1.07682,0.00239,0.52847,0.68553,0.64238,0.55233,0.66722,0.87411,0.00248,0.000892855,0.000892855,0.000892855
121,226.345,0.87437,1.01073,0.00216,0.66519,0.62855,0.64889,0.56518,0.61775,0.85012,0.00236,0.000891022,0.000891022,0.000891022
122,228.332,0.85897,1.01462,0.00224,0.66519,0.62855,0.64889,0.56518,0.61775,0.85012,0.00236,0.000889189,0.000889189,0.000889189
123,230.228,0.86941,0.97371,0.00227,0.66918,0.60242,0.65757,0.56619,0.65383,0.87692,0.00245,0.000887356,0.000887356,0.000887356
124,232.089,0.8713,0.93941,0.00207,0.50657,0.69096,0.66615,0.56915,0.70404,0.86812,0.00264,0.000885523,0.000885523,0.000885523
125,234.092,0.94656,1.05513,0.00248,0.50657,0.69096,0.66615,0.56915,0.70404,0.86812,0.00264,0.000883689,0.000883689,0.000883689
126,236.228,0.92413,1.1528,0.00269,0.49187,0.8263,0.67437,0.58987,0.64429,0.89886,0.00249,0.000881856,0.000881856,0.000881856
127,238.268,0.87785,1.00243,0.00203,0.55292,0.79803,0.68379,0.58436,0.69174,0.82224,0.0026,0.000880023,0.000880023,0.000880023
128,240.209,0.79086,0.8932,0.00181,0.55292,0.79803,0.68379,0.58436,0.69174,0.82224,0.0026,0.00087819,0.00087819,0.00087819
129,242.152,0.88763,1.01047,0.00231,0.60496,0.75076,0.69372,0.5672,0.86455,0.84036,0.00308,0.000876357,0.000876357,0.000876357
130,244.066,0.92829,0.95257,0.00218,0.60496,0.75076,0.69372,0.5672,0.86455,0.84036,0.00308,0.000874524,0.000874524,0.000874524
131,246.018,0.88899,0.9863,0.00221,0.60878,0.73793,0.68008,0.55356,0.86929,0.79133,0.00308,0.000872691,0.000872691,0.000872691
132,248.045,0.9284,0.97473,0.00233,0.61288,0.72982,0.6995,0.59832,0.66638,0.76304,0.00246,0.000870857,0.000870857,0.000870857
133,250.098,0.88187,0.98996,0.00222,0.61288,0.72982,0.6995,0.59832,0.66638,0.76304,0.00246,0.000869024,0.000869024,0.000869024
134,252.198,0.85075,0.95796,0.00217,0.53858,0.75182,0.70614,0.59875,0.68536,0.77638,0.00255,0.000867191,0.000867191,0.000867191
135,254.105,0.93965,0.99874,0.00245,0.53858,0.75182,0.70614,0.59875,0.68536,0.77638,0.00255,0.000865358,0.000865358,0.000865358
136,256.163,0.92271,0.89046,0.00204,0.60071,0.75028,0.70201,0.59832,0.68421,0.8079,0.00253,0.000863525,0.000863525,0.000863525
137,258.783,0.92666,0.95223,0.0023,0.55895,0.74225,0.69856,0.61062,0.60896,0.79427,0.00235,0.000861692,0.000861692,0.000861692
138,260.796,0.80324,0.86131,0.00184,0.55895,0.74225,0.69856,0.61062,0.60896,0.79427,0.00235,0.000859858,0.000859858,0.000859858
139,262.825,0.78083,0.95786,0.0021,0.51885,0.78771,0.707,0.61354,0.63227,0.73278,0.00245,0.000858025,0.000858025,0.000858025
140,264.794,0.82742,0.94379,0.00219,0.54883,0.79339,0.66484,0.57565,0.65114,0.82641,0.00248,0.000856192,0.000856192,0.000856192
141,266.674,0.8189,1.01489,0.00228,0.54883,0.79339,0.66484,0.57565,0.65114,0.82641,0.00248,0.000854359,0.000854359,0.000854359
142,268.776,0.8419,0.91308,0.00192,0.56249,0.85091,0.67424,0.5857,0.63803,0.76289,0.00243,0.000852526,0.000852526,0.000852526
143,270.742,0.88305,0.9983,0.00218,0.56249,0.85091,0.67424,0.5857,0.63803,0.76289,0.00243,0.000850693,0.000850693,0.000850693
144,272.732,1.02683,0.96573,0.00248,0.65013,0.67618,0.70438,0.60909,0.65261,0.70793,0.00249,0.00084886,0.00084886,0.00084886
145,274.78,0.89997,0.83183,0.00212,0.57182,0.72188,0.72035,0.61494,0.67534,0.74386,0.00256,0.000847026,0.000847026,0.000847026
146,276.777,1.02022,0.91981,0.00272,0.57182,0.72188,0.72035,0.61494,0.67534,0.74386,0.00256,0.000845193,0.000845193,0.000845193
147,278.939,0.93626,0.84554,0.00226,0.5246,0.77,0.68171,0.58518,0.69404,0.77804,0.00257,0.00084336,0.00084336,0.00084336
148,280.9,1.00723,1.05252,0.00262,0.5246,0.77,0.68171,0.58518,0.69404,0.77804,0.00257,0.000841527,0.000841527,0.000841527
149,282.655,0.92335,0.86651,0.0025,0.56043,0.77,0.69204,0.5991,0.68211,0.72253,0.00249,0.000839694,0.000839694,0.000839694
150,284.384,0.87205,0.88234,0.00216,0.59588,0.81301,0.72857,0.65122,0.60593,0.67388,0.00233,0.000837861,0.000837861,0.000837861
151,286.451,0.80169,0.85055,0.0019,0.59588,0.81301,0.72857,0.65122,0.60593,0.67388,0.00233,0.000836027,0.000836027,0.000836027
152,288.54,0.86796,0.80789,0.00201,0.53511,0.82651,0.72952,0.64007,0.65993,0.67055,0.00261,0.000834194,0.000834194,0.000834194
153,290.623,0.98184,0.88678,0.00229,0.52876,0.93422,0.71045,0.625,0.65983,0.66277,0.00264,0.000832361,0.000832361,0.000832361
154,292.504,0.89665,0.8764,0.00219,0.52876,0.93422,0.71045,0.625,0.65983,0.66277,0.00264,0.000830528,0.000830528,0.000830528
155,294.437,0.94586,0.96063,0.00262,0.61398,0.86257,0.69717,0.60745,0.59718,0.69713,0.00231,0.000828695,0.000828695,0.000828695
156,296.389,0.83239,0.83953,0.00213,0.61398,0.86257,0.69717,0.60745,0.59718,0.69713,0.00231,0.000826862,0.000826862,0.000826862
157,298.491,0.84693,0.89256,0.00203,0.63442,0.83,0.70313,0.61762,0.58357,0.67682,0.00225,0.000825029,0.000825029,0.000825029
158,300.598,0.84376,0.83453,0.00227,0.48512,0.82719,0.71346,0.62586,0.58586,0.66739,0.00226,0.000823195,0.000823195,0.000823195
159,302.582,0.86187,0.908,0.00226,0.48512,0.82719,0.71346,0.62586,0.58586,0.66739,0.00226,0.000821362,0.000821362,0.000821362
160,304.432,0.83753,0.84925,0.00223,0.55337,0.75588,0.69265,0.60542,0.59718,0.72349,0.00229,0.000819529,0.000819529,0.000819529
161,306.373,0.77152,0.80407,0.0021,0.55337,0.75588,0.69265,0.60542,0.59718,0.72349,0.00229,0.000817696,0.000817696,0.000817696
162,308.291,0.82031,0.83975,0.00227,0.54156,0.89553,0.70466,0.61265,0.67364,0.66011,0.00263,0.000815863,0.000815863,0.000815863
163,310.218,0.87776,0.84345,0.00207,0.57692,0.93374,0.70822,0.60186,0.76158,0.6707,0.00299,0.00081403,0.00081403,0.00081403
164,312.155,0.8444,0.78021,0.0018,0.57692,0.93374,0.70822,0.60186,0.76158,0.6707,0.00299,0.000812197,0.000812197,0.000812197
165,314.113,0.83574,0.77171,0.00186,0.59824,0.92259,0.71837,0.61055,0.74521,0.67295,0.00288,0.000810363,0.000810363,0.000810363
166,316.046,0.81878,0.78857,0.00201,0.51779,0.90833,0.70219,0.61152,0.68758,0.68488,0.00261,0.00080853,0.00080853,0.00080853
167,318.029,0.85118,0.82467,0.00203,0.51779,0.90833,0.70219,0.61152,0.68758,0.68488,0.00261,0.000806697,0.000806697,0.000806697
168,320.072,0.85128,0.87106,0.00216,0.60462,0.73831,0.69824,0.59851,0.68411,0.73253,0.00257,0.000804864,0.000804864,0.000804864
169,322.103,0.93424,0.90662,0.00244,0.60462,0.73831,0.69824,0.59851,0.68411,0.73253,0.00257,0.000803031,0.000803031,0.000803031
170,324.101,0.87096,0.77134,0.00213,0.4676,0.78333,0.71305,0.61403,0.66817,0.69644,0.00254,0.000801198,0.000801198,0.000801198
171,326.139,0.87431,0.82278,0.00213,0.49369,0.795,0.69999,0.6032,0.63846,0.6495,0.00248,0.000799365,0.000799365,0.000799365
172,328.147,0.85357,0.79658,0.00205,0.49369,0.795,0.69999,0.6032,0.63846,0.6495,0.00248,0.000797531,0.000797531,0.000797531
173,330.097,0.93092,0.91623,0.00256,0.49268,0.7252,0.71802,0.62669,0.6184,0.65114,0.00236,0.000795698,0.000795698,0.000795698
174,332.079,0.76747,0.6774,0.00171,0.49268,0.7252,0.71802,0.62669,0.6184,0.65114,0.00236,0.000793865,0.000793865,0.000793865
