epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,168.067,1.34938,1.56696,0.00343,0.3651,0.65839,0.58216,0.46492,0.85935,1.29657,0.00315,0.00103217,0.00103217,0.00103217
45,171.859,1.15276,1.53259,0.00318,0.40951,0.66274,0.61947,0.52002,0.76562,1.27371,0.00281,0.00103034,0.00103034,0.00103034
46,175.694,1.25104,1.63871,0.00329,0.40951,0.66274,0.61947,0.52002,0.76562,1.27371,0.00281,0.00102851,0.00102851,0.00102851
47,179.367,1.21302,1.42572,0.00297,0.42455,0.63973,0.64745,0.52996,0.79544,1.29516,0.00289,0.00102668,0.00102668,0.00102668
48,183.092,1.10534,1.45368,0.00306,0.45774,0.72946,0.64718,0.53261,0.77825,1.27109,0.00284,0.00102484,0.00102484,0.00102484
49,187.009,1.09112,1.31344,0.00277,0.45774,0.72946,0.64718,0.53261,0.77825,1.27109,0.00284,0.00102301,0.00102301,0.00102301
50,190.964,1.10507,1.36294,0.00285,0.44724,0.73913,0.6128,0.50677,0.75594,1.22164,0.00294,0.00102118,0.00102118,0.00102118
51,194.647,1.14691,1.40467,0.0028,0.44724,0.73913,0.6128,0.50677,0.75594,1.22164,0.00294,0.00101934,0.00101934,0.00101934
52,198.308,1.11383,1.40988,0.00312,0.57499,0.6668,0.62177,0.51247,0.76569,1.16166,0.00301,0.00101751,0.00101751,0.00101751
53,201.843,1.18752,1.32705,0.00295,0.48593,0.83332,0.65492,0.53849,0.76962,1.04473,0.00285,0.00101568,0.00101568,0.00101568
54,205.747,1.08274,1.30103,0.00283,0.48593,0.83332,0.65492,0.53849,0.76962,1.04473,0.00285,0.00101384,0.00101384,0.00101384
55,209.637,1.11243,1.33594,0.00278,0.51214,0.71773,0.65424,0.52835,0.78906,1.05393,0.00302,0.00101201,0.00101201,0.00101201
56,213.319,1.08137,1.31064,0.00292,0.51214,0.71773,0.65424,0.52835,0.78906,1.05393,0.00302,0.00101018,0.00101018,0.00101018
57,216.954,1.1672,1.2481,0.00294,0.48643,0.72958,0.67483,0.54825,0.75982,1.09919,0.00295,0.00100834,0.00100834,0.00100834
58,220.972,1.07834,1.19011,0.00273,0.48643,0.72958,0.67483,0.54825,0.75982,1.09919,0.00295,0.00100651,0.00100651,0.00100651
59,224.977,1.10319,1.22595,0.0027,0.42014,0.67758,0.68096,0.56439,0.73001,1.03724,0.00279,0.00100468,0.00100468,0.00100468
60,228.596,0.96772,1.18354,0.00235,0.52598,0.71091,0.66884,0.56539,0.70144,0.97681,0.0027,0.00100284,0.00100284,0.00100284
61,232.266,1.03181,1.27318,0.00289,0.52598,0.71091,0.66884,0.56539,0.70144,0.97681,0.0027,0.00100101,0.00100101,0.00100101
62,235.918,1.0594,1.24775,0.00271,0.50525,0.91858,0.67413,0.56234,0.75086,0.93231,0.00287,0.000999178,0.000999178,0.000999178
63,239.534,1.12884,1.14891,0.00297,0.50525,0.91858,0.67413,0.56234,0.75086,0.93231,0.00287,0.000997345,0.000997345,0.000997345
64,243.228,1.06669,1.16225,0.00295,0.57472,0.70026,0.6825,0.56582,0.74468,0.92641,0.0028,0.000995512,0.000995512,0.000995512
65,247.065,1.02195,1.17226,0.00264,0.51806,0.79424,0.6838,0.57846,0.67788,0.88919,0.00257,0.000993678,0.000993678,0.000993678
66,250.754,1.15957,1.22187,0.00298,0.51806,0.79424,0.6838,0.57846,0.67788,0.88919,0.00257,0.000991845,0.000991845,0.000991845
67,254.63,1.00692,1.10457,0.00254,0.58118,0.68706,0.65241,0.53307,0.80866,0.94463,0.00315,0.000990012,0.000990012,0.000990012
68,258.445,1.06475,1.17493,0.00299,0.58118,0.68706,0.65241,0.53307,0.80866,0.94463,0.00315,0.000988179,0.000988179,0.000988179
69,262.282,1.10176,1.12304,0.00307,0.62009,0.6322,0.66438,0.52528,0.84977,0.94838,0.00331,0.000986346,0.000986346,0.000986346
70,266.038,1.02655,1.16515,0.00275,0.60783,0.68739,0.68449,0.58113,0.66134,0.87779,0.00251,0.000984513,0.000984513,0.000984513
71,270.05,0.99865,1.07698,0.00259,0.60783,0.68739,0.68449,0.58113,0.66134,0.87779,0.00251,0.000982679,0.000982679,0.000982679
72,273.864,0.96357,1.04144,0.00264,0.55205,0.72941,0.70798,0.59956,0.66927,0.90274,0.00249,0.000980846,0.000980846,0.000980846
73,277.566,1.02259,1.14216,0.00283,0.55205,0.72941,0.70798,0.59956,0.66927,0.90274,0.00249,0.000979013,0.000979013,0.000979013
74,281.315,0.96935,1.0516,0.00259,0.49322,0.755,0.66552,0.56382,0.6564,0.97338,0.00252,0.00097718,0.00097718,0.00097718
75,284.991,0.92384,1.01758,0.00236,0.55961,0.73982,0.71698,0.60714,0.72156,0.90063,0.00273,0.000975347,0.000975347,0.000975347
76,288.746,1.09814,1.17796,0.00295,0.55961,0.73982,0.71698,0.60714,0.72156,0.90063,0.00273,0.000973514,0.000973514,0.000973514
77,292.445,0.92405,1.09693,0.00243,0.60479,0.79777,0.7358,0.62888,0.67379,0.82824,0.00252,0.000971681,0.000971681,0.000971681
78,296.065,0.943,1.10942,0.00238,0.60479,0.79777,0.7358,0.62888,0.67379,0.82824,0.00252,0.000969847,0.000969847,0.000969847
79,299.572,1.02048,1.08442,0.00252,0.6643,0.68156,0.66411,0.55239,0.75389,0.89869,0.0029,0.000968014,0.000968014,0.000968014
80,303.105,1.08327,1.07605,0.00305,0.60129,0.64132,0.68478,0.5707,0.74909,0.91322,0.00284,0.000966181,0.000966181,0.000966181
81,306.721,0.9722,1.00619,0.00247,0.60129,0.64132,0.68478,0.5707,0.74909,0.91322,0.00284,0.000964348,0.000964348,0.000964348
82,310.158,0.9445,0.99263,0.00259,0.62859,0.67885,0.74916,0.6332,0.72015,0.82943,0.00264,0.000962515,0.000962515,0.000962515
83,314.155,1.00727,1.00866,0.00268,0.62859,0.67885,0.74916,0.6332,0.72015,0.82943,0.00264,0.000960682,0.000960682,0.000960682
84,317.578,0.96078,0.96604,0.00236,0.52541,0.70478,0.66989,0.55133,0.76583,0.88759,0.00291,0.000958849,0.000958849,0.000958849
85,320.831,0.97159,1.03769,0.00274,0.51679,0.80615,0.66039,0.54926,0.75563,0.92428,0.00287,0.000957015,0.000957015,0.000957015
