epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,164.634,1.22246,1.27236,0.0046,0.61473,0.51266,0.555,0.42202,0.94261,1.19813,0.00476,0.0009274,0.0009274,0.0009274
46,167.745,1.36539,1.35538,0.00494,0.61473,0.51266,0.555,0.42202,0.94261,1.19813,0.00476,0.00092575,0.00092575,0.00092575
47,170.809,1.22873,1.21857,0.00394,0.35624,0.59076,0.61165,0.4527,0.97468,1.0875,0.00453,0.0009241,0.0009241,0.0009241
48,174.022,1.15691,1.28355,0.00412,0.68257,0.47297,0.61591,0.46074,0.93419,1.06858,0.00444,0.00092245,0.00092245,0.00092245
49,177.189,1.139,1.16038,0.00391,0.68257,0.47297,0.61591,0.46074,0.93419,1.06858,0.00444,0.0009208,0.0009208,0.0009208
50,180.428,1.15209,1.23434,0.00386,0.86312,0.4728,0.62087,0.4731,0.88212,1.06701,0.00427,0.00091915,0.00091915,0.00091915
51,183.563,1.25614,1.22259,0.00381,0.86312,0.4728,0.62087,0.4731,0.88212,1.06701,0.00427,0.0009175,0.0009175,0.0009175
52,187.219,1.17733,1.25705,0.00425,0.67612,0.50616,0.6353,0.4757,0.88553,1.09002,0.00447,0.00091585,0.00091585,0.00091585
53,190.679,1.21266,1.15474,0.004,0.72042,0.48312,0.63711,0.48588,0.83997,0.99432,0.00429,0.0009142,0.0009142,0.0009142
54,193.745,1.14463,1.16376,0.00392,0.72042,0.48312,0.63711,0.48588,0.83997,0.99432,0.00429,0.00091255,0.00091255,0.00091255
55,196.868,1.10531,1.10464,0.00378,0.50352,0.62029,0.65402,0.51166,0.85125,0.88999,0.00403,0.0009109,0.0009109,0.0009109
56,199.874,1.14553,1.09041,0.00415,0.50352,0.62029,0.65402,0.51166,0.85125,0.88999,0.00403,0.00090925,0.00090925,0.00090925
57,203.042,1.12323,1.14299,0.00354,0.45162,0.72903,0.67291,0.53584,0.77328,0.89607,0.00355,0.0009076,0.0009076,0.0009076
58,206.128,1.06585,1.01737,0.00351,0.45162,0.72903,0.67291,0.53584,0.77328,0.89607,0.00355,0.00090595,0.00090595,0.00090595
59,209.283,1.03228,1.04738,0.00328,0.42548,0.69482,0.65795,0.52789,0.85839,0.86897,0.00374,0.0009043,0.0009043,0.0009043
60,212.274,1.01591,1.05515,0.00334,0.42002,0.6634,0.66518,0.55172,0.73856,0.82008,0.00338,0.00090265,0.00090265,0.00090265
61,215.475,1.08943,1.08867,0.004,0.42002,0.6634,0.66518,0.55172,0.73856,0.82008,0.00338,0.000901,0.000901,0.000901
62,218.636,1.08274,1.07153,0.0038,0.44136,0.69923,0.65426,0.5335,0.81588,0.84846,0.00409,0.00089935,0.00089935,0.00089935
63,221.705,1.12453,1.06984,0.00407,0.44136,0.69923,0.65426,0.5335,0.81588,0.84846,0.00409,0.0008977,0.0008977,0.0008977
64,224.688,1.02945,0.98582,0.00374,0.56567,0.66028,0.67456,0.5399,0.85918,0.81218,0.00453,0.00089605,0.00089605,0.00089605
65,227.701,1.07929,1.03383,0.00354,0.53368,0.64459,0.66507,0.53481,0.78337,0.79874,0.00379,0.0008944,0.0008944,0.0008944
66,230.748,1.24074,1.10517,0.00393,0.53368,0.64459,0.66507,0.53481,0.78337,0.79874,0.00379,0.00089275,0.00089275,0.00089275
67,233.729,1.16052,0.9983,0.00362,0.54861,0.64123,0.66586,0.50845,0.93131,0.83816,0.00439,0.0008911,0.0008911,0.0008911
